F	W1	W2
52586.69351	6.2097E-05	-0.003150379
52369.73644	7.08584E-05	-0.003189322
52159.96325	7.97264E-05	-0.003228044
51957.59474	8.86947E-05	-0.003266544
51762.85123	9.77566E-05	-0.003304819
51575.95225	0.000106906	-0.003342867
51397.11631	0.000116135	-0.003380686
51226.55939	0.000125439	-0.003418276
51064.4935	0.00013481	-0.003455635
50911.12844	0.000144241	-0.003492761
50766.66905	0.000153727	-0.003529654
50631.31552	0.000163261	-0.003566314
50505.26258	0.000172835	-0.00360274
50388.69886	0.000182445	-0.003638933
50281.80501	0.000192083	-0.003674891
50184.75626	0.000201743	-0.003710617
50097.71934	0.00021142	-0.003746109
50020.85234	0.000221106	-0.003781369
49954.30462	0.000230797	-0.003816398
49898.21853	0.000240486	-0.003851197
49852.72325	0.000250168	-0.003885767
49817.94201	0.000259838	-0.003920109
49793.98631	0.00026949	-0.003954224
49780.9572	0.000279119	-0.003988116
49778.94662	0.00028872	-0.004021784
49788.0348	0.000298288	-0.004055232
49808.29351	0.000307819	-0.004088461
49839.78081	0.000317308	-0.004121473
49882.54757	0.00032675	-0.004154271
49936.6328	0.000336143	-0.004186856
50002.06507	0.000345481	-0.004219232
50078.86337	0.000354761	-0.004251401
50167.03535	0.00036398	-0.004283364
50266.58142	0.000373133	-0.004315125
50377.49068	0.000382219	-0.004346685
50499.74189	0.000391233	-0.004378044
50633.50263	0.000400179	-0.004409203
50778.23609	0.00040904	-0.004440182
50934.31452	0.000417822	-0.004471058
51101.56906	0.000426522	-0.004501648
51279.9384	0.000435138	-0.004532072
51469.35259	0.000443667	-0.004562317
51669.7351	0.000452107	-0.004592386
51881.00378	0.000460456	-0.004622282
52103.06918	0.000468712	-0.004652007
52335.83553	0.000476873	-0.004681565
52579.20187	0.000484939	-0.004710957
52833.06287	0.000492907	-0.004740188
53097.30641	0.000500776	-0.004769259
53371.81798	0.000508544	-0.004798174
53656.47699	0.000516211	-0.004826935
53951.1601	0.000523775	-0.004855545
54255.73941	0.000531235	-0.004884008
54570.08437	0.00053859	-0.004912325
54894.0619	0.000545839	-0.004940499
55227.53509	0.000552981	-0.004968534
55570.36644	0.000560016	-0.004996431
55922.41321	0.000566942	-0.005024193
56283.5341	0.000573758	-0.005051823
56653.58395	0.000580465	-0.005079324
57032.41669	0.00058706	-0.005106697
57419.88606	0.000593545	-0.005133945
57815.8439	0.000599917	-0.005161071
58220.14098	0.000606177	-0.005188077
58632.62836	0.000612323	-0.005214966
59053.15623	0.000618356	-0.005241739
59481.57439	0.000624275	-0.005268398
59917.73291	0.000630079	-0.005294947
60361.48136	0.000635768	-0.005321387
60812.67178	0.000641341	-0.00534772
61271.15262	0.000646799	-0.005373949
61736.7762	0.000652139	-0.005400075
62209.39403	0.000657363	-0.0054261
62688.85858	0.000662469	-0.005452027
63175.02263	0.000667458	-0.005477857
63667.74229	0.000672328	-0.005503592
64166.86981	0.000677079	-0.005529234
64672.26448	0.000681712	-0.005554785
65183.78311	0.000686225	-0.005580246
65701.28268	0.000690619	-0.00560562
66224.62434	0.000694892	-0.005630908
66753.67033	0.000699044	-0.005656111
67288.28259	0.000703076	-0.005681231
67828.32553	0.000706987	-0.005706271
68373.66514	0.000710775	-0.005731231
