x, y
0.0015657620041753654, 0.03125
0.04697286012526096, 1.270833333333333
0.1393528183716075, 2.8125
0.22390396659707726, 3.729166666666666
0.3209812108559499, 4.479166666666666
0.3804801670146138, 4.854166666666666
0.5276617954070981, 5.708333333333333
0.732776617954071, 6.770833333333333
0.8470772442588727, 7.427083333333332
0.9832985386221295, 8.208333333333332
1.066283924843424, 8.760416666666666
1.1069937369519833, 8.916666666666666
1.1383089770354906, 9
1.1711899791231732, 8.8125
1.1931106471816284, 8.229166666666666
1.2009394572025052, 7.395833333333332
1.2056367432150314, 6.6875
1.1931106471816284, 1.53125
1.1884133611691023, 0.59375
1.186847599164927, -0.07291666666666674
1.1899791231732777, -0.4375
1.2134655532359082, -0.7083333333333334
1.2651356993736953, -0.625
1.3653444676409185, -0.29166666666666674
1.4796450939457204, -0.03125
1.5548016701461378, 0.20833333333333326
1.6143006263048016, 0.4375
1.658141962421712, 0.7291666666666665
1.687891440501044, 1.09375
1.7286012526096035, 1.71875
1.9697286012526096, 6.666666666666666
1.9963465553235908, 7.40625
2.0213987473903967, 8.0625
2.0417536534446765, 8.770833333333332
2.0605427974947808, 9.385416666666666
2.0808977035490606, 9.979166666666666
2.096555323590814, 10.59375
